건축구분,대지위치,지목,대지면적(제곱미터),건축면적(제곱미터),연면적(제곱미터),허가일,최대지상층수,최대지하층수,주용도,부속용도
신축,서울특별시 서대문구 홍제동 330-21 외1필지,대,162.00 ,86.39 ,788.57 ,2021-04-02,11,1,업무시설,오피스텔 및 제2종근린생활시설(사무소)
신축,서울특별시 서대문구 홍제동 260-52 외4필지,대,749.50 ,343.11 ,1371.80 ,2021-03-29,6,1,공동주택,도시형생활주택(단지형다세대)
신축,서울특별시 서대문구 북아현동 1-1644,대,380.00 ,206.41 ,891.59 ,2021-03-29,4,1,공동주택,다세대주택
신축,서울특별시 서대문구 연희동 112-6,대,120.00 ,59.29 ,177.10 ,2021-03-25,2,1,단독주택,단독주택
신축,서울특별시 서대문구 북가좌동 8-36,대,162.00 ,96.69 ,323.18 ,2021-03-25,5,0,공동주택,다세대주택
신축,서울특별시 서대문구 홍제동 175-1 외2필지,대,182.00 ,90.40 ,439.38 ,2021-03-17,5,0,제1종근린생활시설,"제2종근린생활시설,주택"
신축,서울특별시 서대문구 연희동 717-49,대,75.70 ,43.07 ,186.64 ,2021-03-17,4,1,제2종근린생활시설,"(일반음식점,사무소)"
신축,서울특별시 서대문구 대현동 37-52 외4필지,대,385.10 ,232.40 ,2479.46 ,2021-03-17,10,1,업무시설,"(오피스텔), 제1종근린생활시설(의류및잡화,미용실)"
신축,서울특별시 서대문구 홍제동 261-19 외1필지,대,274.00 ,162.76 ,547.92 ,2021-03-10,5,0,공동주택,다세대주택
신축,서울특별시 서대문구 천연동 90-26,대,86.60 ,51.08 ,164.29 ,2021-03-08,4,0,단독주택,다가구주택
신축,서울특별시 서대문구 북가좌동 294-23,대,213.30 ,127.81 ,465.07 ,2021-03-02,6,1,공동주택,도시형생활주택(다세대)
신축,서울특별시 서대문구 남가좌동 184-10 외16필지,대,600.20 ,359.67 ,1623.17 ,2021-03-01,4,1,수련시설,청소년문화의집
신축,서울특별시 서대문구 홍제동 156-384,대,175.00 ,100.92 ,261.98 ,2021-02-25,5,0,공동주택,도시형생활주택
신축,서울특별시 서대문구 연희동 162-8,대,126.00 ,75.44 ,286.42 ,2021-02-24,4,0,단독주택,다가구주택
신축,서울특별시 서대문구 창천동 4-103,대,272.20 ,161.25 ,542.96 ,2021-02-24,5,0,공동주택,다세대주택
신축,서울특별시 서대문구 북가좌동 74-169 외1필지,대,347.00 ,203.84 ,659.31 ,2021-02-22,5,0,공동주택,다세대주택
신축,서울특별시 서대문구 연희동 1-6,대,397.74 ,234.89 ,658.99 ,2021-02-19,5,0,공동주택,다세대주택(15세대)
신축,서울특별시 서대문구 연희동 413-105,대,222.00 ,110.63 ,367.28 ,2021-02-19,2,1,문화및집회시설,전시장-기념관
신축,서울특별시 서대문구 연희동 444-98,대,413.00 ,120.88 ,768.03 ,2021-02-18,3,2,공동주택,다세대주택-5세대
신축,서울특별시 서대문구 연희동 136-13,대,175.10 ,87.47 ,325.96 ,2021-02-10,4,0,단독주택,"다가구주택,제2종근린생활시설(사무소)"
신축,서울특별시 서대문구 창천동 53-37,대,294.50 ,175.71 ,799.24 ,2021-01-28,5,1,제2종근린생활시설,
신축,서울특별시 서대문구 대현동 37-49 외2필지,대,185.10 ,119.26 ,1187.05 ,2021-01-27,10,1,업무시설,근생및업무시설(오피스텔)
신축,서울특별시 서대문구 봉원동 49-1 외1필지,대,284.00 ,84.47 ,256.16 ,2021-01-26,3,1,공동주택,다세대주택
신축,서울특별시 서대문구 홍제동 156-379,대,165.00 ,93.23 ,246.92 ,2021-01-25,5,0,공동주택,도시형생활주택(단지형다세대주택)
신축,서울특별시 서대문구 홍제동 282-31 외1필지,대,143.75 ,83.38 ,287.45 ,2021-01-25,5,0,공동주택,다세대주택
신축,서울특별시 서대문구 대현동 56-100 외3필지,대,262.20 ,174.30 ,1742.77 ,2021-01-22,10,1,업무시설,오피스텔/근린생활시설
신축,서울특별시 서대문구 홍은동 265-311,대,271.00 ,161.74 ,693.88 ,2021-01-21,4,1,공동주택,다세대주택
신축,서울특별시 서대문구 대신동 124-8,대,277.00 ,138.28 ,632.98 ,2021-01-15,5,0,단독주택,제2종근린생활시설및 다가구주택
신축,서울특별시 서대문구 연희동 92-3,대,248.30 ,123.37 ,345.65 ,2021-01-15,2,1,제1종근린생활시설,"제1종근린생활시설(소매점),단독주택"
신축,서울특별시 서대문구 신촌동 27-1,전,347.00 ,103.46 ,583.35 ,2021-01-06,3,1,단독주택,
