시도,시군구,대지위치,연면적(제곱미터),주용도,착공처리일,준공예정일(사용승인예정일)
서울특별시,강남구,서울특별시 강남구 역삼동 625-20,1582,제1종근린생활시설,2022-04-04,2023-04-14
서울특별시,강남구,서울특별시 강남구 논현동 193-22,733,제2종근린생활시설,2022-04-01,2022-12-31
서울특별시,강남구,서울특별시 강남구 청담동 32-1,665,단독주택,2022-03-30,2023-02-28
서울특별시,강남구,서울특별시 강남구 삼성동 49-3,854,제2종근린생활시설,2022-03-29,2022-11-30
서울특별시,강남구,서울특별시 강남구 논현동 65-1,601,제2종근린생활시설,2022-03-29,2023-01-27
서울특별시,강남구,서울특별시 강남구 역삼동 607-7,495,제2종근린생활시설,2022-03-29,2022-08-31
서울특별시,강남구,서울특별시 강남구 삼성동 100-2,1522,공동주택,2022-03-29,2023-02-06
서울특별시,강남구,서울특별시 강남구 청담동 48 외1필지,7669,업무시설,2022-03-24,2025-02-22
서울특별시,강남구,서울특별시 강남구 대치동 960-1,536,제2종근린생활시설,2022-03-23,2023-02-28
서울특별시,강남구,서울특별시 강남구 논현동 41-4,1035,업무시설,2022-03-23,2023-02-15
서울특별시,강남구,서울특별시 강남구 청담동 50-1 외1필지,9999,업무시설,2022-03-23,2025-02-22
서울특별시,강남구,서울특별시 강남구 논현동 4-11,293,제2종근린생활시설,2022-03-21,2022-11-15
서울특별시,강남구,서울특별시 강남구 청담동 119-3 외2필지,9639,공동주택,2022-03-21,2025-07-09
서울특별시,강남구,서울특별시 강남구 논현동 172-12,496,제2종근린생활시설,2022-03-14,2022-10-22
서울특별시,강남구,서울특별시 강남구 논현동 160-14,427,제1종근린생활시설,2022-03-14,2022-09-30
서울특별시,강남구,서울특별시 강남구 청담동 96-8,735,제2종근린생활시설,2022-03-14,2023-01-05
서울특별시,강남구,서울특별시 강남구 논현동 110-11,631,제2종근린생활시설,2022-03-10,2022-12-06
서울특별시,강남구,서울특별시 강남구 논현동 114-20 외1필지,997,제2종근린생활시설,2022-03-10,2023-02-28
서울특별시,강남구,서울특별시 강남구 역삼동 609-5,630,제1종근린생활시설,2022-03-08,2022-12-31
서울특별시,강남구,서울특별시 강남구 신사동 646-20,514,제1종근린생활시설,2022-03-07,2022-08-17
서울특별시,강남구,서울특별시 강남구 역삼동 621-15,654,제1종근린생활시설,2022-03-07,2022-11-30
서울특별시,강남구,서울특별시 강남구 논현동 11-17,2218,업무시설,2022-03-03,2022-12-15
서울특별시,강남구,서울특별시 강남구 삼성동 92,280,제2종근린생활시설,2022-03-02,2022-09-09
서울특별시,강남구,서울특별시 강남구 율현동 196-81,360,단독주택,2022-02-25,2022-10-13
서울특별시,강남구,서울특별시 강남구 논현동 267-10,538,제2종근린생활시설,2022-02-24,2023-01-05
서울특별시,강남구,서울특별시 강남구 도곡동 952-6 외2필지,15483,교육연구시설,2022-02-23,2024-02-29
서울특별시,강남구,서울특별시 강남구 논현동 83-12,878,제2종근린생활시설,2022-02-19,2023-02-25
서울특별시,강남구,서울특별시 강남구 역삼동 700 외1필지,8646,업무시설,2022-02-18,2024-08-07
서울특별시,강남구,서울특별시 강남구 논현동 46-4,1163,제2종근린생활시설,2022-02-18,2023-01-21
서울특별시,강남구,서울특별시 강남구 역삼동 630-7,479,단독주택,2022-02-18,2022-06-30
서울특별시,강남구,서울특별시 강남구 역삼동 704-10,602,제2종근린생활시설,2022-02-16,2022-11-20
서울특별시,강남구,서울특별시 강남구 논현동 269-11,2793,업무시설,2022-02-16,2023-10-15
서울특별시,강남구,서울특별시 강남구 삼성동 142-17,1977,업무시설,2022-02-14,2023-02-28
서울특별시,강남구,서울특별시 강남구 역삼동 810-12,690,제2종근린생활시설,2022-02-11,2023-01-31
서울특별시,강남구,서울특별시 강남구 논현동 233-11,729,제2종근린생활시설,2022-02-10,2022-07-15
서울특별시,강남구,서울특별시 강남구 청담동 101-22,1088,제2종근린생활시설,2022-02-08,2023-02-28
서울특별시,강남구,서울특별시 강남구 삼성동 118-27,644,제2종근린생활시설,2022-02-08,2022-12-31
서울특별시,강남구,서울특별시 강남구 논현동 257-15,1265,제2종근린생활시설,2022-02-07,2022-12-31
서울특별시,강남구,서울특별시 강남구 논현동 66-19,441,제2종근린생활시설,2022-02-04,2023-03-02
서울특별시,강남구,서울특별시 강남구 일원동 635-14,289,공동주택,2022-01-26,2022-12-30
서울특별시,강남구,서울특별시 강남구 일원동 638-18,280,공동주택,2022-01-26,2022-08-13
서울특별시,강남구,서울특별시 강남구 일원동 629-14,280,공동주택,2022-01-26,2022-08-13
서울특별시,강남구,서울특별시 강남구 일원동 641-11,393,공동주택,2022-01-26,2021-07-31
서울특별시,강남구,서울특별시 강남구 청담동 99-4,1087,제2종근린생활시설,2022-01-25,2023-01-05
서울특별시,강남구,서울특별시 강남구 청담동 126-14 외1필지,1160,제2종근린생활시설,2022-01-25,2022-11-10
서울특별시,강남구,서울특별시 강남구 일원동 643-13,590,공동주택,2022-01-24,2023-01-23
서울특별시,강남구,서울특별시 강남구 청담동 32-7,885,제2종근린생활시설,2022-01-24,2022-11-30
서울특별시,강남구,서울특별시 강남구 역삼동 826-44 외2필지,1995,업무시설,2022-01-21,2022-12-31
서울특별시,강남구,서울특별시 강남구 역삼동 683-7,1053,제2종근린생활시설,2022-01-19,2022-09-30
서울특별시,강남구,서울특별시 강남구 신사동 559-14,455,제2종근린생활시설,2022-01-19,2021-08-30
서울특별시,강남구,서울특별시 강남구 대치동 899-35,1056,제2종근린생활시설,2022-01-18,2022-08-30
서울특별시,강남구,서울특별시 강남구 논현동 37-12,884,업무시설,2022-01-17,2023-03-31
서울특별시,강남구,서울특별시 강남구 논현동 180-10,461,제1종근린생활시설,2022-01-17,2022-11-30
서울특별시,강남구,서울특별시 강남구 개포동 167-9,3340,교육연구시설,2022-01-14,2023-01-31
서울특별시,강남구,서울특별시 강남구 역삼동 719-17 외1필지,1995,업무시설,2022-01-14,2023-04-10
서울특별시,강남구,서울특별시 강남구 역삼동 719-16,1996,업무시설,2022-01-14,2023-04-10
서울특별시,강남구,서울특별시 강남구 역삼동 834-19,496,제2종근린생활시설,2022-01-13,2022-09-30
서울특별시,강남구,서울특별시 강남구 역삼동 744-16,786,제2종근린생활시설,2022-01-12,2022-08-31
서울특별시,강남구,서울특별시 강남구 논현동 21-3,1564,제2종근린생활시설,2022-01-11,2022-12-31
서울특별시,강남구,서울특별시 강남구 도곡동 902-1 외2필지,5088,공동주택,2022-01-11,2023-08-17
서울특별시,강남구,서울특별시 강남구 논현동 193-12,702,제2종근린생활시설,2022-01-10,2022-12-31
서울특별시,강남구,서울특별시 강남구 논현동 72-1,717,제2종근린생활시설,2022-01-10,2023-01-02
서울특별시,강남구,서울특별시 강남구 역삼동 705-22,6550,업무시설,2022-01-07,2024-10-31
서울특별시,강남구,서울특별시 강남구 신사동 590-15 외1필지,3397,제1종근린생활시설,2022-01-06,2023-03-03
