건축구분,대지위치,지목,대지면적,건축면적,연면적,허가일,착공처리일,사용승인일,최대지상층수,최대지하층수,주용도,부속용도,데이터기준일자
신축,서울특별시 은평구 진관동 산 93,임야,"13,900","1,571.91","2,255.58",2020-08-10,2021-03-05,,2,0,교정및군사시설,"생활관, 식당",2022-10-07
신축,서울특별시 은평구 응암동 119-3,대,172.5,102.5,750.09,2020-06-25,2021-11-30,,9,1,공동주택,"근린생활시설,업무시설및 도시형생활주택",2022-10-07
신축,서울특별시 은평구 응암동 577-7,대,"1,832.60",957.9803,"14,136.27",2020-03-30,2022-03-11,,19,3,공동주택,"업무시설(오피스텔), 제1·2종 근린생활시설",2022-10-07
신축,서울특별시 은평구 갈현동 396-15,대,96.29,56.99,295.2,2020-03-05,2021-09-28,,6,1,제1종근린생활시설,휴게음식점,2022-10-07
신축,서울특별시 은평구 불광동 443-6,대,211.27,116.1,304.69,2019-10-16,2021-03-02,,4,0,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 불광동 16-110 외1필지,대,638,347.21,"1,733.05",2019-09-09,2021-09-27,,4,2,공동주택,도시형생활주택[단지형다세대주택],2022-10-07
신축,서울특별시 은평구 진관동 은평재정비촉진지구 단독주택용지 2-4-7,대,330,162.46,299.02,2019-07-25,2019-08-16,,2,0,단독주택,,2022-10-07
신축,서울특별시 은평구 신사동 237-195 외1필지,대,177.5,105.13,262.29,2019-06-19,2021-06-14,,5,0,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 진관동 산 26-1 외1필지,임야,924,513.49,944.55,2019-05-30,2019-08-05,,2,0,교정및군사시설,국방 군사시설,2022-10-07
신축,서울특별시 은평구 진관동 산 24-9 외1필지,임야,"4,028","2,152.75","3,958.70",2019-05-30,2019-08-05,,2,0,교정및군사시설,국방군사시설,2022-10-07
신축,서울특별시 은평구 대조동 14-71 외1필지,대,258.5,154.64,"1,434.23",2018-09-20,2021-11-16,,13,1,공동주택,아파트 24세대,2022-10-07
신축,서울특별시 은평구 대조동 14-134 외1필지,대,339.2,203.25,"1,759.14",2018-04-24,2021-06-24,,13,1,공동주택,"아파트34세대및제2종근린생활시설,노유자시설",2022-10-07
신축,서울특별시 은평구 진관동 은평뉴타운 단독주택용지 1-12-12,대,230,114.12,177.59,2017-09-18,2017-10-30,,2,0,단독주택,,2022-10-07
신축,서울특별시 은평구 대조동 172-94,대,114.91,68.89,228.05,2017-08-10,2018-01-26,,4,0,단독주택,"다중주택,근린생활시설",2022-10-07
신축,서울특별시 은평구 불광동 312-87,대,151.55,82.7,330.8,2017-07-14,2017-10-27,,3,1,단독주택,다중주택,2022-10-07
