건축구분,대지위치,지목,대지면적(㎡),건축면적(㎡),연면적(㎡),착공처리일,사용승인일,최대지상층수,최대지하층수,최고높이(m),동수,주용도,부속용도,
증축,서울특별시 마포구 망원동 376-26,대,122.99,73.77,263.67,2022-04-18,,3,1,11.8,1,제2종근린생활시설,휴게음식점,
증축,서울특별시 마포구 연남동 383-34,대,119,70.59,238.68,2022-04-26,,4,1,12.179,1,제2종근린생활시설,제2종근린생활시설(일반음식점),
신축,서울특별시 마포구 연남동 571-2 외1필지,대,720,351.13,2906.39,2022-04-07,,7,2,29.74,1,업무시설,사무소,
신축,서울특별시 마포구 합정동 394-15 외1필지,대,358.1,201.6,905.22,2022-06-23,,6,1,20.78,1,제2종근린생활시설,,
신축,서울특별시 마포구 상암동 34-3,대,162,80.25,363.11,2022-04-19,,5,0,15.5,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 마포동 293-7 외1필지,대,874.3,353.98,1931.36,2022-06-09,,4,2,19,2,공동주택,다세대주택 (도시형생활주택),
증축,서울특별시 마포구 망원동 479-33,대,168.28,100.61,311.01,2022-03-29,,4,1,13,1,제2종근린생활시설,사무소,
증축,서울특별시 마포구 성산동 294-11 외2필지,대,202,121.03,399.3,2022-06-08,,4,,12.4,1,제1종근린생활시설,소매점,
신축,서울특별시 마포구 동교동 177-2,대,219.5,120.9,580.54,2022-04-12,,5,1,15.5,0,제2종근린생활시설,사진관휴게음식점사무소,
신축,서울특별시 마포구 동교동 204-2,대,325.5,169.35,865.71,2022-06-07,,5,1,16.25,1,제2종근린생활시설,일반음식점휴게음식점사무소,
대수선,서울특별시 마포구 서교동 325-25,대,171.9,87.53,487.92,2022-05-16,,5,1,17.73,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 연남동 225-28,대,289.3,129.6125,713.14,2022-06-05,,5,1,19.3,1,제1종근린생활시설,제2종근린생활시설,
증축,서울특별시 마포구 합정동 375-18,대,136.5,80.468,298.99,2022-03-29,,4,1,12.1,1,제2종근린생활시설,제2종근린생활시설(일반음식점),
신축,서울특별시 마포구 합정동 428-44,대,117.7,70.56,229.05,2022-06-20,,4,0,13.7,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 서교동 463-34,대,155.7,92.78,404.62,2022-09-08,,5,1,15.5,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 서교동 463-1,대,158,94.54,411.75,2022-09-08,,5,1,15.5,1,제2종근린생활시설,사무소,
증축,서울특별시 마포구 동교동 148-14,대,161.05,96.59,415.89,2022-03-22,,4,1,13.51,1,제2종근린생활시설,일반음식점사무소,
대수선,서울특별시 마포구 성산동 213-6,대,98.04,57.92,171.21,2022-03-03,,3,,8.75,1,단독주택,다중주택 3실,
증축,서울특별시 마포구 망원동 57-206,대,113,67.78,223.15,2022-05-09,,3,1,9.3,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 망원동 471-8,대,176.9,95.82,334.72,2022-05-19,,5,0,14.2,1,제2종근린생활시설,,
신축,서울특별시 마포구 연남동 240-27,대,151.59,90.17,392.44,2022-07-27,,4,1,12.1,1,제2종근린생활시설,,
신축,서울특별시 마포구 서교동 329-3,대,205.6,117.81,653.63,2022-07-30,,5,2,21.78,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 상암동 34-88,대,178,88.99,394.08,2022-04-12,,5,0,15.9,1,제2종근린생활시설,,
신축,서울특별시 마포구 망원동 399-7,대,203.3,121.5,405.96,2022-05-16,,4,0,14.65,1,제2종근린생활시설,사무소(출판사),
신축,서울특별시 마포구 합정동 81-1,대,95.2,56.07,133.9,2022-06-13,,3,0,13.5,1,제2종근린생활시설,사무소,
증축,서울특별시 마포구 연남동 240-11,대,177.9,102.06,352.88,2022-03-15,,3,1,11.3,1,제2종근린생활시설,제2종근린생활시설,
신축,서울특별시 마포구 합정동 369-21,대,207.44,123.29,565.52,2022-04-12,,5,1,15.46,1,제2종근린생활시설,사무소,
증축,서울특별시 마포구 서교동 375-37 외3필지,대,516.9,261.93,850.93,2022-04-06,,4,1,14.8,1,제2종근린생활시설,사무소일반음식점휴게음식점,
신축,서울특별시 마포구 서교동 343-10,대,395.7,236.7,1234.4,2022-05-17,,5,2,19.59,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 신수동 35-8,대,301,129.64,868.36,2022-04-28,,7,1,26.4,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 신수동 277-2 외1필지,대,311.65,185.95,564.48,2022-03-29,,6,0,17.8,1,공동주택,다세대주택(도시형생활주택),
신축,서울특별시 마포구 동교동 161-3,대,332.6,192.12,2144.74,2022-05-06,,10,3,43.7,1,업무시설,,
신축,서울특별시 마포구 성산동 278-34,대,119.5,67.32,238.82,2022-03-30,,5,0,16.3,1,단독주택,다가구주택소매점사무소,
신축,서울특별시 마포구 서교동 473-46,대,369.6,214.46,573.505,2022-05-24,,5,0,15.7,1,공동주택,도시형생활주택 단지형다세대주택,
신축,서울특별시 마포구 공덕동 1-13 외3필지,대,629,372.25,4907.65,2022-09-01,,18,2,64.63,1,업무시설,오피스텔제2종근린생활시설,
증축,서울특별시 마포구 용강동 45-8,대,311.7,153.13,868.41,2022-05-23,,6,1,21,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 마포동 336-2 외2필지,대,436.1,234.77,659.65,2022-06-20,,6,0,17.2,1,공동주택,도시형생활주택(단지형다세대),
증축,서울특별시 마포구 합정동 388-17,대,86.69,42.75,213.75,2022-01-28,,4,1,11.8,1,제2종근린생활시설,제2종근린생활시설(일반음식점),
신축,서울특별시 마포구 신수동 89-123,대,361,215.85,557.78,2022-05-06,,5,0,16.52,1,공동주택,다세대주택,
신축,서울특별시 마포구 성산동 54-7,대,661.5,294.24,2110.77,2022-04-19,,11,1,33.6,1,공동주택,아파트 및 제2종근린생활시설(소매점),
신축,서울특별시 마포구 성산동 49-4,대,168.8,101.08,336.34,2022-04-08,,5,0,17.6,1,단독주택,다가구주택 및 제2종 근린생활시설,
신축,서울특별시 마포구 신수동 42-6 외1필지,대,455.45,220.38,688.69,2022-05-09,,5,0,15.65,1,공동주택,공동주택-다세대주택 및 제1종근린생활시설,
신축,서울특별시 마포구 서교동 482-25,대,199.74,113.88,398.63,2022-03-14,,5,0,16.85,1,제2종근린생활시설,일반음식점소매점사무소,
신축,서울특별시 마포구 동교동 161-10,대,282.6,169.09,1612.3,2022-04-19,,11,2,43.5,1,업무시설,(사무소)제1종근린생활시설(의원미용원),
신축,서울특별시 마포구 노고산동 56-92,대,250.9,149.77,1069.97,2022-09-08,,7,1,26.7,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 신수동 420,대,168.68,101.09,469.13,2022-02-28,,5,1,14,1,제1종근린생활시설,제1종근린생활시설(소매점)및 다가구주택(4가구),
신축,서울특별시 마포구 서교동 394-3,대,196.66,115.62,520.29,2022-02-17,,4,1,16.25,1,제2종근린생활시설,휴게음식점,
신축,서울특별시 마포구 합정동 368-26,대,211.1,122.22,366.21,2022-10-14,,3,1,13.1,1,제2종근린생활시설,일반음식점,
신축,서울특별시 마포구 노고산동 120-14 외1필지,대,173,103.59,454.5,2022-04-19,,4,1,14.35,1,제1종근린생활시설,휴게음식점 소매점,
신축,서울특별시 마포구 대흥동 245-1,대,70.42,34.68,132.77,2022-04-28,,4,0,14.65,1,제1종근린생활시설,,
신축,서울특별시 마포구 용강동 494-113,대,195,115.63,388.82,2022-02-17,,5,0,13.9,1,공동주택,다세대주택(9세대)및 2종근린생활시설(사무소),
신축,서울특별시 마포구 신공덕동 146-44,대,63,31.49,82.26,2022-05-31,,4,0,14.5,1,단독주택,단독주택,
신축,서울특별시 마포구 서교동 247-119,대,228,115.5,592.82,2022-05-20,,5,1,18.6,1,제2종근린생활시설,제12종근린생활시설,
신축,서울특별시 마포구 합정동 81-28,대,142.82,84.04,213.37,2022-03-22,,4,0,13.7,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 서교동 455-2,대,101.2,60.61,193.46,2022-05-18,,4,0,13.32,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 합정동 431-26,대,247.6,148.47,390.14,2022-03-21,,5,0,14,0,공동주택,다세대주택,
신축,서울특별시 마포구 상수동 334-2,대,152.6,84.03,400.8,2022-03-31,,5,1,17.33,1,제2종근린생활시설,사무소일반음식점,
신축,서울특별시 마포구 상암동 1515,대,88.69,44.24,192.12,2022-04-22,,5,0,17.54,1,제2종근린생활시설,사무소,
증축,서울특별시 마포구 동교동 113-27,대,159.66,95.12,319.69,2022-03-31,,3,1,11.5,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 서교동 363-14 외1필지,대,439,262.84,1452.87,2022-04-13,,5,2,17.765,1,제1종근린생활시설,,
증축,서울특별시 마포구 합정동 412-7,대,252.8,126.18,581.32,2021-12-30,,5,1,16.1,1,제2종근린생활시설,사무소,
