시군구,대지위치,연면적(제곱미터),주용도 변환,주용도,착공처리일,준공예정일(사용승인예정일),지번주소,건축면적,위도,경도
강남구,서울특별시 강남구 논현동 29-10,1262,근린생활시설,제2종근린생활시설,2022-05-16,2022-06-15,논현동 29-10,,37.5158672,127.027849
강남구,서울특별시 강남구 논현동 29-9,1254,근린생활시설,제2종근린생활시설,2022-05-16,2022-06-15,논현동 29-9,,37.5158481,127.0278334
강남구,서울특별시 강남구 논현동 187-22,461,근린생활시설,제2종근린생활시설,2022-05-16,2022-12-30,논현동 187-22,,37.5067914,127.0281296
강남구,서울특별시 강남구 대치동 897-16,795,근린생활시설,제2종근린생활시설,2022-05-13,2023-02-08,대치동 897-16,,37.5028829,127.0509857
강남구,서울특별시 강남구 논현동 235-4 외1필지,2437,업무시설,업무시설,2022-05-12,2023-05-30,논현동 235-4,,37.5082112,127.0353546
강남구,서울특별시 강남구 일원동 625-14,367,주택,공동주택,2022-05-12,2022-09-30,일원동 625-14,,37.4938911,127.0833709
강남구,서울특별시 강남구 삼성동 37-19,3610,업무시설,업무시설,2022-05-11,2023-09-30,삼성동 37-19,,37.5107139,127.0441632
강남구,서울특별시 강남구 논현동 102-5,763,근린생활시설,제2종근린생활시설,2022-05-10,2023-04-20,논현동 102-5,,37.5195134,127.0395882
강남구,서울특별시 강남구 율현동 102-7,1688,편의시설,자동차관련시설,2022-05-10,2022-12-22,율현동 102-7,,37.4711592,127.1181622
강남구,서울특별시 강남구 삼성동 121-1,489,근린생활시설,제2종근린생활시설,2022-05-04,2023-05-09,삼성동 121-1,,37.511,127.0525038
강남구,서울특별시 강남구 논현동 115-5,735,근린생활시설,제2종근린생활시설,2022-05-03,2022-10-20,논현동 115-5,,37.5166843,127.0371867
강남구,서울특별시 강남구 일원동 620-5,336,주택,공동주택,2022-04-29,2022-11-30,일원동 620-5,,37.4934321,127.0818114
강남구,서울특별시 강남구 논현동 224-1,729,근린생활시설,제2종근린생활시설,2022-04-27,2023-02-18,논현동 224-1,,37.5105826,127.0343355
강남구,서울특별시 강남구 논현동 82-7 외1필지,2702,근린생활시설,제1종근린생활시설,2022-04-26,2023-06-30,논현동 82-7,,37.5161224,127.0321544
강남구,서울특별시 강남구 청담동 130-28,662,근린생활시설,제2종근린생활시설,2022-04-26,2023-03-15,청담동 130-28,,37.5245006,127.0556727
강남구,서울특별시 강남구 율현동 440,290,주택,단독주택,2022-04-25,2022-11-10,율현동 440,,37.4720063,127.1104558
강남구,서울특별시 강남구 일원동 664-5,301,주택,공동주택,2022-04-25,2022-10-30,일원동 664-5,,37.491601,127.0845726
강남구,서울특별시 강남구 신사동 557-24,602,근린생활시설,제2종근린생활시설,2022-04-22,2023-03-15,신사동 557-24,,37.5211327,127.0262988
강남구,서울특별시 강남구 청담동 62-9,468,근린생활시설,제2종근린생활시설,2022-04-21,2023-02-28,청담동 62-9,,37.5225052,127.0490945
강남구,서울특별시 강남구 역삼동 823-5,1990,업무시설,업무시설,2022-04-21,2023-11-30,역삼동 823-5,,37.4982744,127.0318194
강남구,서울특별시 강남구 역삼동 823-5,1990,업무시설,업무시설,2022-04-21,2023-11-30,역삼동 823-5,,37.4982744,127.0318194
강남구,서울특별시 강남구 삼성동 117-6,681,근린생활시설,제2종근린생활시설,2022-04-20,2023-04-10,삼성동 117-6,,37.5120863,127.0520082
강남구,서울특별시 강남구 역삼동 719-22,3641,업무시설,업무시설,2022-04-20,2024-04-20,역삼동 719-22,,37.5013992,127.0413165
강남구,서울특별시 강남구 역삼동 695-29,689,근린생활시설,제2종근린생활시설,2022-04-20,2023-03-31,역삼동 695-29,,37.5061813,127.0464604
강남구,서울특별시 강남구 대치동 915-23,602,근린생활시설,제2종근린생활시설,2022-04-20,2022-12-31,대치동 915-23,,37.5010611,127.0575242
강남구,서울특별시 강남구 논현동 62-2,8645,업무시설,업무시설,2022-04-20,2024-07-30,논현동 62-2,,37.5205426,127.032448
강남구,서울특별시 강남구 청담동 2-2,813,근린생활시설,제2종근린생활시설,2022-04-19,2023-04-14,청담동 2-2,,37.5227641,127.0403328
강남구,서울특별시 강남구 삼성동 92-1,997,근린생활시설,제2종근린생활시설,2022-04-19,2023-01-31,삼성동 92-1,,37.516467,127.061568
강남구,서울특별시 강남구 논현동 73-13,569,근린생활시설,제2종근린생활시설,2022-04-18,2023-03-31,논현동 73-13,,37.5181053,127.0305824
강남구,서울특별시 강남구 역삼동 705-26,3181,업무시설,업무시설,2022-04-15,2024-02-12,역삼동 705-26,,37.5049528,127.0484271
강남구,서울특별시 강남구 개포동 1264-13,274,주택,공동주택,2022-04-14,2022-10-31,개포동 1264-13,,37.4802733,127.0481353
강남구,서울특별시 강남구 신사동 600-11,847,근린생활시설,제2종근린생활시설,2022-04-14,2023-01-31,신사동 600-11,,37.5235366,127.0296739
강남구,서울특별시 강남구 율현동 196-83,351,주택,단독주택,2022-04-13,2022-10-30,율현동 196-83,,37.47219,127.1087938
